n= 21 before optimization: 
[[0.         0.        ]
 [0.04761905 0.61904762]
 [0.0952381  0.23809524]
 [0.14285714 0.85714286]
 [0.19047619 0.47619048]
 [0.23809524 0.0952381 ]
 [0.28571429 0.71428571]
 [0.33333333 0.33333333]
 [0.38095238 0.95238095]
 [0.42857143 0.57142857]
 [0.47619048 0.19047619]
 [0.52380952 0.80952381]
 [0.57142857 0.42857143]
 [0.61904762 0.04761905]
 [0.66666667 0.66666667]
 [0.71428571 0.28571429]
 [0.76190476 0.9047619 ]
 [0.80952381 0.52380952]
 [0.85714286 0.14285714]
 [0.9047619  0.76190476]
 [0.95238095 0.38095238]]

n= 21 after optimization:
[[3.21119409e-05 2.46496355e-05]
 [4.76511608e-02 6.19072271e-01]
 [9.52702167e-02 2.38119892e-01]
 [1.42889268e-01 8.57167506e-01]
 [1.90508312e-01 4.76215134e-01]
 [2.38127354e-01 9.52627506e-02]
 [2.85746403e-01 7.14310365e-01]
 [3.33365443e-01 3.33357969e-01]
 [3.80984491e-01 9.52405599e-01]
 [4.28603542e-01 5.71453223e-01]
 [4.76222597e-01 1.90500836e-01]
 [5.23841635e-01 8.09548461e-01]
 [5.71460690e-01 4.28596074e-01]
 [6.19079726e-01 4.76437109e-02]
 [6.66698780e-01 6.66691317e-01]
 [7.14317836e-01 2.85738931e-01]
 [7.61936880e-01 9.04786545e-01]
 [8.09555941e-01 5.23834177e-01]
 [8.57174966e-01 1.42881795e-01]
 [9.04794014e-01 7.61929410e-01]
 [9.52413065e-01 3.80977025e-01]]
