n=34 before optimization: 
[[0.         0.        ]
 [0.02941176 0.61764706]
 [0.05882353 0.23529412]
 [0.08823529 0.85294118]
 [0.11764706 0.47058824]
 [0.14705882 0.08823529]
 [0.17647059 0.70588235]
 [0.20588235 0.32352941]
 [0.23529412 0.94117647]
 [0.26470588 0.55882353]
 [0.29411765 0.17647059]
 [0.32352941 0.79411765]
 [0.35294118 0.41176471]
 [0.38235294 0.02941176]
 [0.41176471 0.64705882]
 [0.44117647 0.26470588]
 [0.47058824 0.88235294]
 [0.5        0.5       ]
 [0.52941176 0.11764706]
 [0.55882353 0.73529412]
 [0.58823529 0.35294118]
 [0.61764706 0.97058824]
 [0.64705882 0.58823529]
 [0.67647059 0.20588235]
 [0.70588235 0.82352941]
 [0.73529412 0.44117647]
 [0.76470588 0.05882353]
 [0.79411765 0.67647059]
 [0.82352941 0.29411765]
 [0.85294118 0.91176471]
 [0.88235294 0.52941176]
 [0.91176471 0.14705882]
 [0.94117647 0.76470588]
 [0.97058824 0.38235294]]

n=34 after optimization:
[[1.99202344e-05 1.81377027e-05]
 [2.94316755e-02 6.17665193e-01]
 [5.88434435e-02 2.35312245e-01]
 [8.82552026e-02 8.52959310e-01]
 [1.17666970e-01 4.70606377e-01]
 [1.47078740e-01 8.82534265e-02]
 [1.76490509e-01 7.05900491e-01]
 [2.05902266e-01 3.23547552e-01]
 [2.35314035e-01 9.41194613e-01]
 [2.64725794e-01 5.58841664e-01]
 [2.94137577e-01 1.76488724e-01]
 [3.23549332e-01 7.94135800e-01]
 [3.52961095e-01 4.11782841e-01]
 [3.82372865e-01 2.94298970e-02]
 [4.11784632e-01 6.47076959e-01]
 [4.41196380e-01 2.64724013e-01]
 [4.70608162e-01 8.82371082e-01]
 [5.00019918e-01 5.00018136e-01]
 [5.29431681e-01 1.17665203e-01]
 [5.58843451e-01 7.35312265e-01]
 [5.88255232e-01 3.52959312e-01]
 [6.17666977e-01 9.70606370e-01]
 [6.47078731e-01 5.88253425e-01]
 [6.76490494e-01 2.05900483e-01]
 [7.05902266e-01 8.23547552e-01]
 [7.35314038e-01 4.41194605e-01]
 [7.64725809e-01 5.88416740e-02]
