n=55 before optimization:
[[0.         0.        ]
 [0.01818182 0.61818182]
 [0.03636364 0.23636364]
 [0.05454545 0.85454545]
 [0.07272727 0.47272727]
 [0.09090909 0.09090909]
 [0.10909091 0.70909091]
 [0.12727273 0.32727273]
 [0.14545455 0.94545455]
 [0.16363636 0.56363636]
 [0.18181818 0.18181818]
 [0.2        0.8       ]
 [0.21818182 0.41818182]
 [0.23636364 0.03636364]
 [0.25454545 0.65454545]
 [0.27272727 0.27272727]
 [0.29090909 0.89090909]
 [0.30909091 0.50909091]
 [0.32727273 0.12727273]
 [0.34545455 0.74545455]
 [0.36363636 0.36363636]
 [0.38181818 0.98181818]
 [0.4        0.6       ]
 [0.41818182 0.21818182]
 [0.43636364 0.83636364]
 [0.45454545 0.45454545]
 [0.47272727 0.07272727]
 [0.49090909 0.69090909]
 [0.50909091 0.30909091]
 [0.52727273 0.92727273]
 [0.54545455 0.54545455]
 [0.56363636 0.16363636]
 [0.58181818 0.78181818]
 [0.6        0.4       ]
 [0.61818182 0.01818182]
 [0.63636364 0.63636364]
 [0.65454545 0.25454545]
 [0.67272727 0.87272727]
 [0.69090909 0.49090909]
 [0.70909091 0.10909091]
 [0.72727273 0.72727273]
 [0.74545455 0.34545455]
 [0.76363636 0.96363636]
 [0.78181818 0.58181818]
 [0.8        0.2       ]
 [0.81818182 0.81818182]
 [0.83636364 0.43636364]
 [0.85454545 0.05454545]
 [0.87272727 0.67272727]
 [0.89090909 0.29090909]
 [0.90909091 0.90909091]
 [0.92727273 0.52727273]
 [0.94545455 0.14545455]
 [0.96363636 0.76363636]
 [0.98181818 0.38181818]]

n=55 after optimization:
[[8.38547597e-06 1.58582429e-05]
 [1.81902138e-02 6.18197677e-01]
 [3.63720586e-02 2.36379500e-01]
 [5.45538398e-02 8.54561315e-01]
 [7.27356872e-02 4.72743139e-01]
 [9.09174753e-02 9.09249518e-02]
 [1.09099299e-01 7.09106770e-01]
 [1.27281114e-01 3.27288592e-01]
 [1.45462937e-01 9.45470403e-01]
 [1.63644751e-01 5.63652232e-01]
 [1.81826553e-01 1.81834039e-01]
 [2.00008388e-01 8.00015866e-01]
 [2.18190202e-01 4.18197677e-01]
 [2.36372025e-01 3.63794854e-02]
 [2.54553843e-01 6.54561322e-01]
 [2.72735660e-01 2.72743125e-01]
 [2.90917481e-01 8.90924954e-01]
 [3.09099279e-01 5.09106760e-01]
 [3.27281099e-01 1.27288609e-01]
 [3.45462930e-01 7.45470392e-01]
 [3.63644750e-01 3.63652223e-01]
 [3.81826571e-01 9.81834033e-01]
 [4.00008380e-01 6.00015853e-01]
 [4.18190208e-01 2.18197674e-01]
 [4.36372018e-01 8.36379503e-01]
 [4.54553839e-01 4.54561312e-01]
 [4.72735652e-01 7.27431264e-02]
 [4.90917469e-01 6.90924939e-01]
 [5.09099311e-01 3.09106780e-01]
 [5.27281115e-01 9.27288596e-01]
 [5.45462937e-01 5.45470399e-01]
 [5.63644743e-01 1.63652225e-01]
 [5.81826567e-01 7.81834043e-01]
 [6.00008388e-01 4.00015865e-01]
 [6.18190199e-01 1.81976695e-02]
 [6.36372019e-01 6.36379490e-01]
 [6.54553839e-01 2.54561314e-01]
 [6.72735655e-01 8.72743133e-01]
 [6.90917467e-01 4.90924944e-01]
 [7.09099295e-01 1.09106771e-01]
 [7.27281117e-01 7.27288590e-01]
 [7.45462936e-01 3.45470405e-01]
 [7.63644747e-01 9.63652213e-01]
 [7.81826561e-01 5.81834037e-01]
 [8.00008368e-01 2.00015860e-01]
 [8.18190210e-01 8.18197678e-01]
 [8.36372017e-01 4.36379489e-01]
 [8.54553844e-01 5.45613113e-02]
 [8.72735663e-01 6.72743120e-01]
 [8.90917472e-01 2.90924945e-01]
 [9.09099293e-01 9.09106764e-01]
 [9.27281107e-01 5.27288588e-01]
 [9.45462920e-01 1.45470389e-01]
 [9.63644742e-01 7.63652221e-01]
 [9.81826562e-01 3.81834036e-01]]
