before:
[[0.         0.        ]
 [0.01666667 0.61803401]
 [0.03333334 0.23606801]
 [0.05       0.85410202]
 [0.06666667 0.47213602]
 [0.08333334 0.09016991]
 [0.1        0.70820403]
 [0.11666667 0.32623816]
 [0.13333334 0.94427204]
 [0.15000001 0.56230593]
 [0.16666667 0.18033981]
 [0.18333334 0.79837418]
 [0.2        0.41640806]
 [0.21666667 0.03444195]
 [0.23333333 0.65247631]
 [0.25       0.27050972]
 [0.26666668 0.88854408]
 [0.28333333 0.50657845]
 [0.30000001 0.12461185]
 [0.31666666 0.74264622]
 [0.33333334 0.36067963]
 [0.34999999 0.97871399]
 [0.36666667 0.59674835]
 [0.38333333 0.21478176]
 [0.40000001 0.83281612]
 [0.41666666 0.45085049]
 [0.43333334 0.0688839 ]
 [0.44999999 0.68691826]
 [0.46666667 0.30495262]
 [0.48333332 0.92298698]
 [0.5        0.54101944]
 [0.51666665 0.1590538 ]
 [0.53333336 0.77708817]
 [0.55000001 0.39512253]
 [0.56666666 0.01315689]
 [0.58333331 0.63118935]
 [0.60000002 0.24922371]
 [0.61666667 0.86725807]
 [0.63333333 0.48529243]
 [0.64999998 0.1033268 ]
 [0.66666669 0.72135925]
 [0.68333334 0.33939362]
 [0.69999999 0.95742798]
 [0.71666664 0.57546234]
 [0.73333335 0.1934967 ]
 [0.75       0.81153107]
 [0.76666665 0.42956352]
 [0.78333336 0.04759789]
 [0.80000001 0.66563225]
 [0.81666666 0.28366661]
 [0.83333331 0.90170097]
 [0.85000002 0.51973343]
 [0.86666667 0.13776779]
 [0.88333333 0.75580215]
 [0.89999998 0.37383652]
 [0.91666669 0.99187088]
 [0.93333334 0.60990524]
 [0.94999999 0.22793961]
 [0.96666664 0.84597397]
 [0.98333335 0.46400452]]

After:
[[0.00224931 0.00222922]
 [0.01831182 0.62142992]
 [0.03905961 0.2408523 ]
 [0.05248076 0.8574236 ]
 [0.0722564  0.47479099]
 [0.09012796 0.09389919]
 [0.10338183 0.71156538]
 [0.12468792 0.3311812 ]
 [0.13677935 0.94862354]
 [0.15369402 0.56620371]
 [0.17381324 0.18430842]
 [0.18781401 0.80157495]
 [0.20784061 0.41968703]
 [0.2247341  0.0384476 ]
 [0.23607078 0.65630072]
 [0.25738585 0.27539319]
 [0.27062488 0.89338142]
 [0.28892228 0.51153898]
 [0.30868456 0.13022991]
 [0.3216016  0.74841505]
 [0.3424274  0.36728081]
 [0.35375607 0.98558885]
 [0.36910307 0.60319638]
 [0.38953808 0.22118232]
 [0.40314722 0.8389954 ]
 [0.42320195 0.45696157]
 [0.44071028 0.07518814]
 [0.45333546 0.69276994]
 [0.47477481 0.31081012]
 [0.48755765 0.92854846]
 [0.50471342 0.54592592]
 [0.52487981 0.16365746]
 [0.53842491 0.78146857]
 [0.55878395 0.39932314]
 [0.57507068 0.01740413]
 [0.58560246 0.6352669 ]
 [0.60662049 0.25325006]
 [0.61960542 0.87129855]
 [0.63918453 0.48889309]
 [0.65811014 0.10710946]
 [0.6707716  0.72547293]
 [0.69206446 0.34427848]
 [0.70406777 0.96288073]
 [0.72004545 0.58064711]
 [0.74038577 0.19896238]
 [0.75413269 0.81754202]
 [0.7742784  0.43614852]
 [0.79252785 0.05463774]
 [0.80329376 0.67259449]
 [0.82475096 0.29032254]
 [0.83806908 0.90880191]
 [0.85555571 0.52545303]
 [0.87599754 0.14281315]
 [0.88867521 0.76229781]
 [0.90937787 0.38069275]
 [0.92028069 1.        ]
 [0.93490916 0.61714786]
 [0.95549673 0.23282138]
 [0.96825141 0.85406846]
 [0.98891342 0.46997052]]
