before: 
[[0.         0.        ]
 [0.01666667 0.61803401]
 [0.03333334 0.23606801]
 [0.05       0.85410202]
 [0.06666667 0.47213602]
 [0.08333334 0.09016991]
 [0.1        0.70820403]
 [0.11666667 0.32623816]
 [0.13333334 0.94427204]
 [0.15000001 0.56230593]
 [0.16666667 0.18033981]
 [0.18333334 0.79837418]
 [0.2        0.41640806]
 [0.21666667 0.03444195]
 [0.23333333 0.65247631]
 [0.25       0.27050972]
 [0.26666668 0.88854408]
 [0.28333333 0.50657845]
 [0.30000001 0.12461185]
 [0.31666666 0.74264622]
 [0.33333334 0.36067963]
 [0.34999999 0.97871399]
 [0.36666667 0.59674835]
 [0.38333333 0.21478176]
 [0.40000001 0.83281612]
 [0.41666666 0.45085049]
 [0.43333334 0.0688839 ]
 [0.44999999 0.68691826]
 [0.46666667 0.30495262]
 [0.48333332 0.92298698]
 [0.5        0.54101944]
 [0.51666665 0.1590538 ]
 [0.53333336 0.77708817]
 [0.55000001 0.39512253]
 [0.56666666 0.01315689]
 [0.58333331 0.63118935]
 [0.60000002 0.24922371]
 [0.61666667 0.86725807]
 [0.63333333 0.48529243]
 [0.64999998 0.1033268 ]
 [0.66666669 0.72135925]
 [0.68333334 0.33939362]
 [0.69999999 0.95742798]
 [0.71666664 0.57546234]
 [0.73333335 0.1934967 ]
 [0.75       0.81153107]
 [0.76666665 0.42956352]
 [0.78333336 0.04759789]
 [0.80000001 0.66563225]
 [0.81666666 0.28366661]
 [0.83333331 0.90170097]
 [0.85000002 0.51973343]
 [0.86666667 0.13776779]
 [0.88333333 0.75580215]
 [0.89999998 0.37383652]
 [0.91666669 0.99187088]
 [0.93333334 0.60990524]
 [0.94999999 0.22793961]
 [0.96666664 0.84597397]
 [0.98333335 0.46400452]]

After:
[[0.01105019 0.0110502 ]
 [0.02634227 0.62575454]
 [0.04541843 0.24603203]
 [0.05884819 0.85869342]
 [0.07602457 0.47625098]
 [0.09637701 0.09813528]
 [0.10997286 0.71231252]
 [0.12879406 0.33135253]
 [0.14187931 0.94376349]
 [0.15856929 0.56046063]
 [0.17741385 0.18103352]
 [0.19207838 0.79483628]
 [0.20918742 0.41293868]
 [0.23004405 0.0460947 ]
 [0.24384606 0.66101247]
 [0.26335332 0.28023082]
 [0.27565473 0.89359266]
 [0.29324919 0.51070428]
 [0.31348607 0.13116404]
 [0.32666874 0.74577159]
 [0.34536263 0.36402947]
 [0.35842401 0.97728235]
 [0.37484178 0.59377623]
 [0.39305064 0.21323514]
 [0.4083502  0.82759225]
 [0.42470828 0.44518963]
 [0.44445789 0.07746459]
 [0.45947364 0.6926865 ]
 [0.47782108 0.31109753]
 [0.49185151 0.92518777]
 [0.50801528 0.5420621 ]
 [0.52663308 0.16140802]
 [0.54203242 0.77642262]
 [0.55897647 0.39416271]
 [0.57956266 0.02665907]
 [0.59385091 0.64233363]
 [0.61348945 0.26064616]
 [0.62578851 0.87544399]
 [0.6435498  0.49247107]
 [0.66415101 0.11138394]
 [0.67716664 0.72697282]
 [0.69630694 0.3445555 ]
 [0.70860738 0.95948929]
 [0.72556418 0.57611698]
 [0.74447691 0.19423331]
 [0.7589069  0.80986089]
 [0.77605999 0.42699897]
 [0.79655862 0.05935362]
 [0.81051081 0.67543525]
 [0.82988292 0.29274809]
 [0.84227502 0.90845072]
 [0.85961151 0.52513391]
 [0.87949634 0.14259076]
 [0.89319581 0.75880498]
 [0.91149187 0.37563199]
 [0.9250319  0.99171418]
 [0.94082439 0.60828269]
 [0.95848686 0.22518624]
 [0.97463155 0.84167612]
 [0.99029332 0.45835492]]
