before: 
[[0.11028889 0.35803824]
 [0.64013745 0.75179928]
 [0.19123813 0.15604123]
 [0.50533041 0.63051358]
 [0.00655329 0.20885633]
 [0.93184724 0.05612953]
 [0.57296335 0.12403954]
 [0.82185884 0.52423536]
 [0.96923591 0.1893331 ]
 [0.53923072 0.62122385]
 [0.92825604 0.33392936]
 [0.04436395 0.90036026]
 [0.4744174  0.02873873]
 [0.82041624 0.2955443 ]
 [0.04149955 0.92426808]
 [0.80587191 0.97878741]
 [0.24191541 0.02391154]
 [0.09654817 0.53493364]
 [0.46957321 0.01574126]
 [0.75702155 0.84302007]
 [0.62921882 0.83113835]
 [0.37210076 0.00267173]
 [0.52667884 0.61266222]
 [0.57693874 0.64300109]
 [0.47114659 0.73813784]
 [0.41877307 0.21770456]
 [0.50080533 0.74675479]
 [0.92097311 0.24272614]
 [0.83555846 0.1186628 ]
 [0.23269406 0.28447187]
 [0.47005381 0.23252506]
 [0.81093631 0.22483672]
 [0.70990907 0.90425941]
 [0.369355   0.35610002]
 [0.15695847 0.14434998]
 [0.30879292 0.00803108]
 [0.94738255 0.12747039]
 [0.42098836 0.46285013]
 [0.12356835 0.0985277 ]
 [0.15763889 0.89820208]
 [0.39749016 0.89420435]
 [0.35933864 0.3001666 ]
 [0.09167231 0.598141  ]
 [0.14856658 0.16093994]
 [0.96191674 0.51203426]
 [0.73473839 0.12360831]
 [0.97790925 0.61781654]
 [0.0037224  0.79743074]
 [0.98782639 0.08876828]
 [0.221113   0.46299342]
 [0.70767884 0.51242159]
 [0.14075624 0.52681698]
 [0.24006197 0.68577723]
 [0.17056677 0.98947943]
 [0.16694632 0.37814257]
 [0.72234201 0.12680307]
 [0.25509172 0.32284046]
 [0.16680716 0.00225803]
 [0.99758525 0.33355817]
 [0.38589824 0.46863555]]

after optimization:
